,법규위반유형,유형,주야,월,사고수
509,부당한회전,부상자수,야,02,55
510,부당한회전,사고건수,야,03,33
511,부당한회전,사망자수,야,03,0
512,부당한회전,부상자수,야,03,49
513,부당한회전,사고건수,야,04,38
514,부당한회전,사망자수,야,04,1
515,부당한회전,부상자수,야,04,46
516,부당한회전,사고건수,야,05,50
517,부당한회전,사망자수,야,05,0
518,부당한회전,부상자수,야,05,66
519,부당한회전,사고건수,야,06,53
520,부당한회전,사망자수,야,06,1
521,부당한회전,부상자수,야,06,63
522,부당한회전,사고건수,야,07,52
523,부당한회전,사망자수,야,07,0
524,부당한회전,부상자수,야,07,70
525,부당한회전,사고건수,야,08,50
526,부당한회전,사망자수,야,08,0
527,부당한회전,부상자수,야,08,69
528,부당한회전,사고건수,야,09,45
529,부당한회전,사망자수,야,09,1
530,부당한회전,부상자수,야,09,51
531,부당한회전,사고건수,야,10,37
532,부당한회전,사망자수,야,10,0
533,부당한회전,부상자수,야,10,46
534,부당한회전,사고건수,야,11,37
535,부당한회전,사망자수,야,11,0
536,부당한회전,부상자수,야,11,43
537,부당한회전,사고건수,야,12,53
538,부당한회전,사망자수,야,12,0
539,부당한회전,부상자수,야,12,72
540,진로양보불이행,사고건수,주,01,2
541,진로양보불이행,사망자수,주,01,0
542,진로양보불이행,부상자수,주,01,2
543,진로양보불이행,사고건수,주,02,3
544,진로양보불이행,사망자수,주,02,0
545,진로양보불이행,부상자수,주,02,4
546,진로양보불이행,사고건수,주,03,2
547,진로양보불이행,사망자수,주,03,0
548,진로양보불이행,부상자수,주,03,6
549,진로양보불이행,사고건수,주,04,7
550,진로양보불이행,사망자수,주,04,0
551,진로양보불이행,부상자수,주,04,9
552,진로양보불이행,사고건수,주,05,3
553,진로양보불이행,사망자수,주,05,0
554,진로양보불이행,부상자수,주,05,4
555,진로양보불이행,사고건수,주,06,4
556,진로양보불이행,사망자수,주,06,0
557,진로양보불이행,부상자수,주,06,6
558,진로양보불이행,사고건수,주,07,6
559,진로양보불이행,사망자수,주,07,1
560,진로양보불이행,부상자수,주,07,10
561,진로양보불이행,사고건수,주,08,2
562,진로양보불이행,사망자수,주,08,0
563,진로양보불이행,부상자수,주,08,3
564,진로양보불이행,사고건수,주,09,4
565,진로양보불이행,사망자수,주,09,0
566,진로양보불이행,부상자수,주,09,5
567,진로양보불이행,사고건수,주,10,2
568,진로양보불이행,사망자수,주,10,0
569,진로양보불이행,부상자수,주,10,3
570,진로양보불이행,사고건수,주,11,4
571,진로양보불이행,사망자수,주,11,0
572,진로양보불이행,부상자수,주,11,6
573,진로양보불이행,사고건수,주,12,1
574,진로양보불이행,사망자수,주,12,0
575,진로양보불이행,부상자수,주,12,1
576,교차로운행방법위반,사고건수,주,01,604
577,교차로운행방법위반,사망자수,주,01,2
578,교차로운행방법위반,부상자수,주,01,922
579,교차로운행방법위반,사고건수,주,02,608
580,교차로운행방법위반,사망자수,주,02,1
581,교차로운행방법위반,부상자수,주,02,913
582,교차로운행방법위반,사고건수,주,03,698
583,교차로운행방법위반,사망자수,주,03,1
584,교차로운행방법위반,부상자수,주,03,1077
585,교차로운행방법위반,사고건수,주,04,731
586,교차로운행방법위반,사망자수,주,04,3
587,교차로운행방법위반,부상자수,주,04,1130
588,교차로운행방법위반,사고건수,주,05,732
589,교차로운행방법위반,사망자수,주,05,3
590,교차로운행방법위반,부상자수,주,05,1171
591,교차로운행방법위반,사고건수,주,06,771
592,교차로운행방법위반,사망자수,주,06,1
593,교차로운행방법위반,부상자수,주,06,1179
594,교차로운행방법위반,사고건수,주,07,716
595,교차로운행방법위반,사망자수,주,07,5
596,교차로운행방법위반,부상자수,주,07,1063
597,교차로운행방법위반,사고건수,주,08,724
598,교차로운행방법위반,사망자수,주,08,3
599,교차로운행방법위반,부상자수,주,08,1098
600,교차로운행방법위반,사고건수,주,09,666
601,교차로운행방법위반,사망자수,주,09,0
602,교차로운행방법위반,부상자수,주,09,1045
603,교차로운행방법위반,사고건수,주,10,648
604,교차로운행방법위반,사망자수,주,10,5
605,교차로운행방법위반,부상자수,주,10,979
606,교차로운행방법위반,사고건수,주,11,741
607,교차로운행방법위반,사망자수,주,11,6
608,교차로운행방법위반,부상자수,주,11,1110
609,교차로운행방법위반,사고건수,주,12,684
610,교차로운행방법위반,사망자수,주,12,1
611,교차로운행방법위반,부상자수,주,12,1015
612,교차로운행방법위반,사고건수,야,01,313
613,교차로운행방법위반,사망자수,야,01,0
614,교차로운행방법위반,부상자수,야,01,447
615,교차로운행방법위반,사고건수,야,02,283
616,교차로운행방법위반,사망자수,야,02,0
617,교차로운행방법위반,부상자수,야,02,434
618,교차로운행방법위반,사고건수,야,03,330
619,교차로운행방법위반,사망자수,야,03,1
620,교차로운행방법위반,부상자수,야,03,543
621,교차로운행방법위반,사고건수,야,04,362
622,교차로운행방법위반,사망자수,야,04,1
623,교차로운행방법위반,부상자수,야,04,550
624,교차로운행방법위반,사고건수,야,05,298
625,교차로운행방법위반,사망자수,야,05,0
626,교차로운행방법위반,부상자수,야,05,450
627,교차로운행방법위반,사고건수,야,06,307
628,교차로운행방법위반,사망자수,야,06,2
629,교차로운행방법위반,부상자수,야,06,497
630,교차로운행방법위반,사고건수,야,07,377
631,교차로운행방법위반,사망자수,야,07,0
632,교차로운행방법위반,부상자수,야,07,538
633,교차로운행방법위반,사고건수,야,08,315
634,교차로운행방법위반,사망자수,야,08,0
635,교차로운행방법위반,부상자수,야,08,471
636,교차로운행방법위반,사고건수,야,09,276
637,교차로운행방법위반,사망자수,야,09,1
638,교차로운행방법위반,부상자수,야,09,390
639,교차로운행방법위반,사고건수,야,10,324
640,교차로운행방법위반,사망자수,야,10,1
641,교차로운행방법위반,부상자수,야,10,506
642,교차로운행방법위반,사고건수,야,11,371
643,교차로운행방법위반,사망자수,야,11,0
644,교차로운행방법위반,부상자수,야,11,577
645,교차로운행방법위반,사고건수,야,12,339
646,교차로운행방법위반,사망자수,야,12,2
647,교차로운행방법위반,부상자수,야,12,479
648,보행자보호의무위반,사고건수,주,01,307
649,보행자보호의무위반,사망자수,주,01,9
650,보행자보호의무위반,부상자수,주,01,311
651,보행자보호의무위반,사고건수,주,02,284
652,보행자보호의무위반,사망자수,주,02,4
653,보행자보호의무위반,부상자수,주,02,291
654,보행자보호의무위반,사고건수,주,03,309
655,보행자보호의무위반,사망자수,주,03,7
656,보행자보호의무위반,부상자수,주,03,313
657,보행자보호의무위반,사고건수,주,04,393
658,보행자보호의무위반,사망자수,주,04,4
659,보행자보호의무위반,부상자수,주,04,409
660,보행자보호의무위반,사고건수,주,05,327
661,보행자보호의무위반,사망자수,주,05,6
662,보행자보호의무위반,부상자수,주,05,336
663,보행자보호의무위반,사고건수,주,06,341
664,보행자보호의무위반,사망자수,주,06,6
665,보행자보호의무위반,부상자수,주,06,347
666,보행자보호의무위반,사고건수,주,07,304
667,보행자보호의무위반,사망자수,주,07,8
668,보행자보호의무위반,부상자수,주,07,329
669,보행자보호의무위반,사고건수,주,08,324
670,보행자보호의무위반,사망자수,주,08,10
671,보행자보호의무위반,부상자수,주,08,327
672,보행자보호의무위반,사고건수,주,09,340
673,보행자보호의무위반,사망자수,주,09,7
674,보행자보호의무위반,부상자수,주,09,345
675,보행자보호의무위반,사고건수,주,10,367
676,보행자보호의무위반,사망자수,주,10,6
677,보행자보호의무위반,부상자수,주,10,381
678,보행자보호의무위반,사고건수,주,11,404
