도로종류,시간대,사고수,월,유형
고속국도,10시-12시,1,02,사망자수
고속국도,12시-14시,1,02,사망자수
고속국도,14시-16시,0,02,사망자수
고속국도,16시-18시,1,02,사망자수
고속국도,18시-20시,1,02,사망자수
고속국도,20시-22시,1,02,사망자수
고속국도,22시-24시,1,02,사망자수
일반국도,00시-02시,40,02,부상자수
일반국도,02시-04시,22,02,부상자수
일반국도,04시-06시,31,02,부상자수
일반국도,06시-08시,125,02,부상자수
일반국도,08시-10시,197,02,부상자수
일반국도,10시-12시,217,02,부상자수
일반국도,12시-14시,257,02,부상자수
일반국도,14시-16시,298,02,부상자수
일반국도,16시-18시,291,02,부상자수
일반국도,18시-20시,303,02,부상자수
일반국도,20시-22시,256,02,부상자수
일반국도,22시-24시,128,02,부상자수
지방도,00시-02시,39,02,부상자수
지방도,02시-04시,9,02,부상자수
지방도,04시-06시,7,02,부상자수
지방도,06시-08시,81,02,부상자수
지방도,08시-10시,131,02,부상자수
지방도,10시-12시,158,02,부상자수
지방도,12시-14시,228,02,부상자수
지방도,14시-16시,185,02,부상자수
지방도,16시-18시,229,02,부상자수
지방도,18시-20시,210,02,부상자수
지방도,20시-22시,165,02,부상자수
지방도,22시-24시,104,02,부상자수
특별광역시도,00시-02시,248,02,부상자수
특별광역시도,02시-04시,118,02,부상자수
특별광역시도,04시-06시,137,02,부상자수
특별광역시도,06시-08시,309,02,부상자수
특별광역시도,08시-10시,689,02,부상자수
특별광역시도,10시-12시,726,02,부상자수
특별광역시도,12시-14시,903,02,부상자수
특별광역시도,14시-16시,1041,02,부상자수
특별광역시도,16시-18시,1031,02,부상자수
특별광역시도,18시-20시,1282,02,부상자수
특별광역시도,20시-22시,1015,02,부상자수
특별광역시도,22시-24시,714,02,부상자수
시도,00시-02시,190,02,부상자수
시도,02시-04시,82,02,부상자수
시도,04시-06시,103,02,부상자수
시도,06시-08시,342,02,부상자수
시도,08시-10시,559,02,부상자수
시도,10시-12시,638,02,부상자수
시도,12시-14시,842,02,부상자수
시도,14시-16시,909,02,부상자수
시도,16시-18시,883,02,부상자수
시도,18시-20시,1058,02,부상자수
