	법규위반유형	유형	주야	월	사고수
585	교차로운행방법위반	사고건수	주	4	731
586	교차로운행방법위반	사망자수	주	4	3
587	교차로운행방법위반	부상자수	주	4	1130
588	교차로운행방법위반	사고건수	주	5	732
589	교차로운행방법위반	사망자수	주	5	3
590	교차로운행방법위반	부상자수	주	5	1171
591	교차로운행방법위반	사고건수	주	6	771
592	교차로운행방법위반	사망자수	주	6	1
593	교차로운행방법위반	부상자수	주	6	1179
594	교차로운행방법위반	사고건수	주	7	716
595	교차로운행방법위반	사망자수	주	7	5
596	교차로운행방법위반	부상자수	주	7	1063
597	교차로운행방법위반	사고건수	주	8	724
598	교차로운행방법위반	사망자수	주	8	3
599	교차로운행방법위반	부상자수	주	8	1098
600	교차로운행방법위반	사고건수	주	9	666
601	교차로운행방법위반	사망자수	주	9	0
602	교차로운행방법위반	부상자수	주	9	1045
603	교차로운행방법위반	사고건수	주	10	648
604	교차로운행방법위반	사망자수	주	10	5
605	교차로운행방법위반	부상자수	주	10	979
606	교차로운행방법위반	사고건수	주	11	741
607	교차로운행방법위반	사망자수	주	11	6
608	교차로운행방법위반	부상자수	주	11	1110
609	교차로운행방법위반	사고건수	주	12	684
610	교차로운행방법위반	사망자수	주	12	1
611	교차로운행방법위반	부상자수	주	12	1015
612	교차로운행방법위반	사고건수	야	1	313
613	교차로운행방법위반	사망자수	야	1	0
614	교차로운행방법위반	부상자수	야	1	447
615	교차로운행방법위반	사고건수	야	2	283
616	교차로운행방법위반	사망자수	야	2	0
617	교차로운행방법위반	부상자수	야	2	434
618	교차로운행방법위반	사고건수	야	3	330
619	교차로운행방법위반	사망자수	야	3	1
620	교차로운행방법위반	부상자수	야	3	543
621	교차로운행방법위반	사고건수	야	4	362
622	교차로운행방법위반	사망자수	야	4	1
623	교차로운행방법위반	부상자수	야	4	550
624	교차로운행방법위반	사고건수	야	5	298
625	교차로운행방법위반	사망자수	야	5	0
626	교차로운행방법위반	부상자수	야	5	450
627	교차로운행방법위반	사고건수	야	6	307
628	교차로운행방법위반	사망자수	야	6	2
629	교차로운행방법위반	부상자수	야	6	497
630	교차로운행방법위반	사고건수	야	7	377
631	교차로운행방법위반	사망자수	야	7	0
632	교차로운행방법위반	부상자수	야	7	538
633	교차로운행방법위반	사고건수	야	8	315
634	교차로운행방법위반	사망자수	야	8	0
635	교차로운행방법위반	부상자수	야	8	471
636	교차로운행방법위반	사고건수	야	9	276
637	교차로운행방법위반	사망자수	야	9	1
638	교차로운행방법위반	부상자수	야	9	390
639	교차로운행방법위반	사고건수	야	10	324
640	교차로운행방법위반	사망자수	야	10	1
641	교차로운행방법위반	부상자수	야	10	506
642	교차로운행방법위반	사고건수	야	11	371
643	교차로운행방법위반	사망자수	야	11	0
644	교차로운행방법위반	부상자수	야	11	577
645	교차로운행방법위반	사고건수	야	12	339
646	교차로운행방법위반	사망자수	야	12	2
647	교차로운행방법위반	부상자수	야	12	479
648	보행자보호의무위반	사고건수	주	1	307
649	보행자보호의무위반	사망자수	주	1	9
650	보행자보호의무위반	부상자수	주	1	311
651	보행자보호의무위반	사고건수	주	2	284
652	보행자보호의무위반	사망자수	주	2	4
653	보행자보호의무위반	부상자수	주	2	291
654	보행자보호의무위반	사고건수	주	3	309
655	보행자보호의무위반	사망자수	주	3	7
656	보행자보호의무위반	부상자수	주	3	313
657	보행자보호의무위반	사고건수	주	4	393
658	보행자보호의무위반	사망자수	주	4	4
659	보행자보호의무위반	부상자수	주	4	409
660	보행자보호의무위반	사고건수	주	5	327
661	보행자보호의무위반	사망자수	주	5	6
662	보행자보호의무위반	부상자수	주	5	336
663	보행자보호의무위반	사고건수	주	6	341
664	보행자보호의무위반	사망자수	주	6	6
665	보행자보호의무위반	부상자수	주	6	347
666	보행자보호의무위반	사고건수	주	7	304
667	보행자보호의무위반	사망자수	주	7	8
668	보행자보호의무위반	부상자수	주	7	329
669	보행자보호의무위반	사고건수	주	8	324
670	보행자보호의무위반	사망자수	주	8	10
671	보행자보호의무위반	부상자수	주	8	327
672	보행자보호의무위반	사고건수	주	9	340
673	보행자보호의무위반	사망자수	주	9	7
674	보행자보호의무위반	부상자수	주	9	345
675	보행자보호의무위반	사고건수	주	10	367
676	보행자보호의무위반	사망자수	주	10	6
677	보행자보호의무위반	부상자수	주	10	381
678	보행자보호의무위반	사고건수	주	11	404
